     t     ,     X     ,     Y     , attitude  , velocity  , steering  ,input_accel,input_steer
   0.000000,  -0.100000,-100.000000,   1.570796,   0.000000,   0.000000,  -0.000000
  -0.000000,   0.010000,  -0.100000,-100.000000,   1.570796,   0.000000,   0.000000,  24.935055
  -0.000025,   0.020000,  -0.100000, -99.999500,   1.570796,   0.100000,  -0.000000,  74.672731
  -0.000050,   0.030000,  -0.100000, -99.998000,   1.570796,   0.200000,  -0.000001, 149.055059
  -0.000074,   0.040000,  -0.100000, -99.995500,   1.570796,   0.300000,  -0.000001, 247.902974
  -0.000099,   0.050000,  -0.100000, -99.992000,   1.570796,   0.400000,  -0.000002, 371.015893
  -0.000124,   0.060000,  -0.100000, -99.987500,   1.570796,   0.500000,  -0.000004, 518.172197
  -0.000149,   0.070000,  -0.100000, -99.982000,   1.570796,   0.600000,  -0.000005, 689.129728
  -0.000175,   0.080000,  -0.100000, -99.975500,   1.570796,   0.700000,  -0.000007, 883.626310
  -0.000200,   0.090000,  -0.100000, -99.968000,   1.570796,   0.800000,  -0.000009,1101.380278
  -0.000226,   0.100000,  -0.100000, -99.959500,   1.570796,   0.900000,  -0.000011,1342.091037
  -0.000253,   0.110000,  -0.100000, -99.950000,   1.570796,   1.000000,  -0.000014,1605.439628
  -0.000279,   0.120000,  -0.100000, -99.939500,   1.570796,   1.100000,  -0.000017,1891.089307
  -0.000307,   0.130000,  -0.100000, -99.928000,   1.570796,   1.200000,  -0.000020,2198.686147
  -0.000334,   0.140000,  -0.100000, -99.915500,   1.570796,   1.300000,  -0.000023,2527.859640
  -0.000363,   0.150000,  -0.100000, -99.902000,   1.570796,   1.400000,  -0.000027,2878.223320
  -0.000392,   0.160000,  -0.100000, -99.887500,   1.570795,   1.500000,  -0.000031,3249.375390
  -0.000421,   0.170000,  -0.100000, -99.872000,   1.570795,   1.600000,  -0.000035,3640.899362
  -0.000451,   0.180000,  -0.100000, -99.855500,   1.570795,   1.700000,  -0.000039,4052.364698
  -0.000482,   0.190000,  -0.100000, -99.838000,   1.570795,   1.800000,  -0.000044,4483.327465
  -0.000514,   0.200000,  -0.100000, -99.819500,   1.570794,   1.900000,  -0.000049,4933.330993
  -0.000547,   0.210000,  -0.100000, -99.800000,   1.570794,   2.000000,  -0.000055,5401.906534
  -0.000580,   0.220000,  -0.100000, -99.779500,   1.570793,   2.100000,  -0.000060,5888.573929
  -0.000614,   0.230000,  -0.100000, -99.758000,   1.570792,   2.200000,  -0.000067,6392.842274
  -0.000650,   0.240000,  -0.100000, -99.735500,   1.570792,   2.300000,  -0.000073,6914.210587
  -0.000686,   0.250000,  -0.099999, -99.712000,   1.570791,   2.400000,  -0.000080,7452.168479
  -0.000723,   0.260000,  -0.099999, -99.687500,   1.570790,   2.500000,  -0.000087,8006.196822
  -0.000761,   0.270000,  -0.099999, -99.662000,   1.570788,   2.600000,  -0.000095,8575.768410
  -0.000800,   0.280000,  -0.099999, -99.635500,   1.570787,   2.700000,  -0.000103,9160.348629
  -0.000840,   0.290000,  -0.099999, -99.608000,   1.570786,   2.800000,  -0.000111,9759.396110
  -0.000882,   0.300000,  -0.099998, -99.579500,   1.570784,   2.900000,  -0.000120,10372.363389
  -0.000924,   0.310000,  -0.099998, -99.550000,   1.570782,   3.000000,  -0.000129,10998.697552
  -0.000968,   0.320000,  -0.099997, -99.519500,   1.570780,   3.100000,  -0.000139,11637.840883
  -0.001013,   0.330000,  -0.099997, -99.488000,   1.570778,   3.200000,  -0.000149,12289.231498
  -0.001059,   0.340000,  -0.099996, -99.455500,   1.570775,   3.300000,  -0.000160,12952.303973
  -0.001106,   0.350000,  -0.099996, -99.422000,   1.570773,   3.400000,  -0.000171,13626.489966
  -0.001155,   0.360000,  -0.099995, -99.387500,   1.570770,   3.500000,  -0.000182,14311.218826
  -0.001205,   0.370000,  -0.099994, -99.352000,   1.570766,   3.600000,  -0.000194,15005.918197
  -0.001256,   0.380000,  -0.099992, -99.315500,   1.570763,   3.700000,  -0.000207,15710.014605
